graph,binary,k,time_s
com-lj,pivotscale,3,0.77
com-lj,pivotscale,4,2.47
com-lj,pivotscale,5,16.77
com-lj,pivotscale,6,94.58
com-lj,pivotscale,7,424.75
com-lj,pivotscale,8,1481.54
com-lj,pivotscale,9,5042.72
com-lj,pivotscale,10,17476.74
com-lj,pivotscale,11,51565.73
com-lj,pivotscale,12,127853.78
com-lj,clover,3,0.06
com-lj,clover,4,0.14
com-lj,clover,5,0.37
com-lj,clover,6,2.13
com-lj,clover,7,13.08
com-lj,clover,8,70.18
com-lj,clover,9,304.64
com-lj,clover,10,1035.43
com-lj,clover,11,3228.31
com-lj,clover,12,10424.38
com-lj,clover_is,3,0.54
com-lj,clover_is,4,0.55
com-lj,clover_is,5,0.57
com-lj,clover_is,6,0.60
com-lj,clover_is,7,0.71
com-lj,clover_is,8,1.61
com-lj,clover_is,9,2.91
com-lj,clover_is,10,4.84
com-lj,clover_is,11,7.69
com-lj,clover_is,12,9.69
com-orkut,pivotscale,3,1.98
com-orkut,pivotscale,4,3.45
com-orkut,pivotscale,5,5.32
com-orkut,pivotscale,6,6.73
com-orkut,pivotscale,7,9.30
com-orkut,pivotscale,8,12.93
com-orkut,pivotscale,9,17.94
com-orkut,pivotscale,10,20.79
com-orkut,pivotscale,11,23.24
com-orkut,pivotscale,12,24.35
com-orkut,clover,3,0.44
com-orkut,clover,4,0.90
com-orkut,clover,5,1.79
com-orkut,clover,6,3.16
com-orkut,clover,7,4.88
com-orkut,clover,8,6.65
com-orkut,clover,9,8.52
com-orkut,clover,10,10.63
com-orkut,clover,11,12.58
com-orkut,clover,12,14.76
com-orkut,clover_is,3,0.64
com-orkut,clover_is,4,0.85
com-orkut,clover_is,5,1.07
com-orkut,clover_is,6,1.38
com-orkut,clover_is,7,1.81
com-orkut,clover_is,8,2.23
com-orkut,clover_is,9,2.52
com-orkut,clover_is,10,2.65
com-orkut,clover_is,11,2.71
com-orkut,clover_is,12,2.73
indochina-2004,pivotscale,3,1545.35
indochina-2004,pivotscale,4,1351.40
indochina-2004,pivotscale,5,1379.42
indochina-2004,pivotscale,6,1428.31
indochina-2004,pivotscale,7,1440.45
indochina-2004,pivotscale,8,1350.77
indochina-2004,pivotscale,9,1615.70
indochina-2004,pivotscale,10,1549.28
indochina-2004,pivotscale,11,1613.70
indochina-2004,pivotscale,12,1628.25
indochina-2004,clover,3,8.58
indochina-2004,clover,4,757.30
indochina-2004,clover,5,808.69
indochina-2004,clover,6,741.02
indochina-2004,clover,7,802.60
indochina-2004,clover,8,768.40
indochina-2004,clover,9,838.94
indochina-2004,clover_is,3,8.72
indochina-2004,clover_is,4,4.31
indochina-2004,clover_is,5,4.37
indochina-2004,clover_is,6,4.50
indochina-2004,clover_is,7,4.54
indochina-2004,clover_is,8,4.67
indochina-2004,clover_is,9,5.07
indochina-2004,clover_is,10,4.65
indochina-2004,clover_is,11,4.46
indochina-2004,clover_is,12,4.48
uk-2005,pivotscale,3,12.82
uk-2005,pivotscale,4,15.88
uk-2005,pivotscale,5,61.55
uk-2005,pivotscale,6,372.02
uk-2005,pivotscale,7,3468.89
uk-2005,pivotscale,8,38714.46
uk-2005,clover,3,4.02
uk-2005,clover,4,7.02
uk-2005,clover,5,8.11
uk-2005,clover,6,13.68
uk-2005,clover,7,16.65
uk-2005,clover,8,317.92
uk-2005,clover,9,2819.52
uk-2005,clover,10,41226.86
uk-2005,clover_is,3,5.74
uk-2005,clover_is,4,6.09
uk-2005,clover_is,5,7.12
uk-2005,clover_is,6,8.01
uk-2005,clover_is,7,9.15
uk-2005,clover_is,8,14.17
uk-2005,clover_is,9,31.56
uk-2005,clover_is,10,77.23
uk-2005,clover_is,11,149.34
uk-2005,clover_is,12,233.76
webbase-2001,pivotscale,3,22.81
webbase-2001,pivotscale,4,15.65
webbase-2001,pivotscale,5,121.73
webbase-2001,pivotscale,6,1634.71
webbase-2001,pivotscale,7,22292.09
webbase-2001,clover,3,15.55
webbase-2001,clover,4,7.39
webbase-2001,clover,5,8.02
webbase-2001,clover,6,13.21
webbase-2001,clover,7,95.45
webbase-2001,clover,8,1380.66
webbase-2001,clover,9,17739.17
webbase-2001,clover,10,205196.31
webbase-2001,clover_is,3,15.77
webbase-2001,clover_is,4,16.11
webbase-2001,clover_is,5,16.49
webbase-2001,clover_is,6,16.75
webbase-2001,clover_is,7,17.38
webbase-2001,clover_is,8,32.53
webbase-2001,clover_is,9,216.53
webbase-2001,clover_is,10,1450.22
webbase-2001,clover_is,11,10208.04
webbase-2001,clover_is,12,58241.73
